time,value,port,component
00:00:10:000,20,ut,generator_con
00:00:20:000,1,acketSentOut,sender1
00:00:20:000,11,ataOut,sender1
00:00:23:000,11,ut,subnet1
00:00:33:000,1,ut,receiver1
00:00:36:000,1,ut,subnet2
00:00:36:000,1,ckReceivedOut,sender1
00:00:46:000,2,acketSentOut,sender1
00:00:46:000,20,ataOut,sender1
00:00:49:000,20,ut,subnet1
00:00:59:000,0,ut,receiver1
00:01:02:000,0,ut,subnet2
00:01:02:000,0,ckReceivedOut,sender1
00:01:12:000,3,acketSentOut,sender1
00:01:12:000,31,ataOut,sender1
00:01:15:000,31,ut,subnet1
00:01:25:000,1,ut,receiver1
00:01:28:000,1,ut,subnet2
00:01:28:000,1,ckReceivedOut,sender1
00:01:38:000,4,acketSentOut,sender1
00:01:38:000,40,ataOut,sender1
00:01:41:000,40,ut,subnet1
00:01:51:000,0,ut,receiver1
00:01:54:000,0,ut,subnet2
00:01:54:000,0,ckReceivedOut,sender1
00:02:04:000,5,acketSentOut,sender1
00:02:04:000,51,ataOut,sender1
00:02:07:000,51,ut,subnet1
00:02:17:000,1,ut,receiver1
00:02:20:000,1,ut,subnet2
00:02:20:000,1,ckReceivedOut,sender1
00:02:30:000,6,acketSentOut,sender1
00:02:30:000,60,ataOut,sender1
00:02:33:000,60,ut,subnet1
00:02:43:000,0,ut,receiver1
00:02:46:000,0,ut,subnet2
00:02:46:000,0,ckReceivedOut,sender1
00:02:56:000,7,acketSentOut,sender1
00:02:56:000,71,ataOut,sender1
00:02:59:000,71,ut,subnet1
00:03:09:000,1,ut,receiver1
00:03:12:000,1,ut,subnet2
00:03:12:000,1,ckReceivedOut,sender1
00:03:22:000,8,acketSentOut,sender1
00:03:22:000,80,ataOut,sender1
00:03:52:000,8,acketSentOut,sender1
00:03:52:000,80,ataOut,sender1
00:03:55:000,80,ut,subnet1
00:04:05:000,0,ut,receiver1
00:04:08:000,0,ut,subnet2
00:04:08:000,0,ckReceivedOut,sender1
00:04:18:000,9,acketSentOut,sender1
00:04:18:000,91,ataOut,sender1
00:04:21:000,91,ut,subnet1
00:04:31:000,1,ut,receiver1
00:04:34:000,1,ut,subnet2
00:04:34:000,1,ckReceivedOut,sender1
00:04:44:000,10,acketSentOut,sender1
00:04:44:000,100,ataOut,sender1
00:04:47:000,100,ut,subnet1
00:04:57:000,0,ut,receiver1
00:05:00:000,0,ut,subnet2
00:05:00:000,0,ckReceivedOut,sender1
00:05:10:000,11,acketSentOut,sender1
00:05:10:000,111,ataOut,sender1
00:05:13:000,111,ut,subnet1
00:05:23:000,1,ut,receiver1
00:05:26:000,1,ut,subnet2
00:05:26:000,1,ckReceivedOut,sender1
00:05:36:000,12,acketSentOut,sender1
00:05:36:000,120,ataOut,sender1
00:05:39:000,120,ut,subnet1
00:05:49:000,0,ut,receiver1
00:05:52:000,0,ut,subnet2
00:05:52:000,0,ckReceivedOut,sender1
00:06:02:000,13,acketSentOut,sender1
00:06:02:000,131,ataOut,sender1
00:06:05:000,131,ut,subnet1
00:06:15:000,1,ut,receiver1
00:06:18:000,1,ut,subnet2
00:06:18:000,1,ckReceivedOut,sender1
00:06:28:000,14,acketSentOut,sender1
00:06:28:000,140,ataOut,sender1
00:06:31:000,140,ut,subnet1
00:06:41:000,0,ut,receiver1
00:06:44:000,0,ut,subnet2
00:06:44:000,0,ckReceivedOut,sender1
00:06:54:000,15,acketSentOut,sender1
00:06:54:000,151,ataOut,sender1
00:06:57:000,151,ut,subnet1
00:07:07:000,1,ut,receiver1
00:07:10:000,1,ut,subnet2
00:07:10:000,1,ckReceivedOut,sender1
00:07:20:000,16,acketSentOut,sender1
00:07:20:000,160,ataOut,sender1
00:07:23:000,160,ut,subnet1
00:07:33:000,0,ut,receiver1
00:07:36:000,0,ut,subnet2
00:07:36:000,0,ckReceivedOut,sender1
00:07:46:000,17,acketSentOut,sender1
00:07:46:000,171,ataOut,sender1
00:07:49:000,171,ut,subnet1
00:07:59:000,1,ut,receiver1
00:08:02:000,1,ut,subnet2
00:08:02:000,1,ckReceivedOut,sender1
00:08:12:000,18,acketSentOut,sender1
00:08:12:000,180,ataOut,sender1
00:08:15:000,180,ut,subnet1
00:08:25:000,0,ut,receiver1
00:08:28:000,0,ut,subnet2
00:08:28:000,0,ckReceivedOut,sender1
00:08:38:000,19,acketSentOut,sender1
00:08:38:000,191,ataOut,sender1
00:08:41:000,191,ut,subnet1
00:08:51:000,1,ut,receiver1
00:08:54:000,1,ut,subnet2
00:08:54:000,1,ckReceivedOut,sender1
00:09:04:000,20,acketSentOut,sender1
00:09:04:000,200,ataOut,sender1
00:09:07:000,200,ut,subnet1
00:09:17:000,0,ut,receiver1
00:09:20:000,0,ut,subnet2
00:09:20:000,0,ckReceivedOut,sender1
